"MLS No","Status","Address","Unit","DOM","City","LP","SP","BT","SqFt","BR","Bth","PB","Gar","GarSp","YrBlt","HOA Fee","Freq","Closing Date","Age","Area","Zip"
"SF495865","SLD","2166 47th Avenue",,"7","SANFRCISCO","$1,095,000","$1,550,000","DE","1521","3","2","0",,,"1937",,,"3/17/2020",,"SF District 2","94116"
"SF485841","SLD","3326 Vicente Street",,"14","SANFRCISCO","$1,095,000","$1,620,000","DE","1549","3","2","0",,,"1944",,,"7/10/2019",,"SF District 2","94116"
"SF421524826","SLD","2510 35th Avenue",,"7","SANFRCISCO","$1,095,000","$1,625,000","DU","1619","3","2","0",,"0","1931",,,"3/29/2021","90","SF District 2","94116"
"SF480631","SLD","1326 Lyon Street",,"9","SANFRCISCO","$1,095,000","$1,400,000","CO","1336","2","1","1",,"0","1906","200","M","3/26/2019","115","SF District 6","94115"
"SF493493","SLD","536 Chenery Street",,"14","SANFRCISCO","$1,095,000","$1,335,000","DE","918","2","1","0",,,"1905",,,"2/12/2020",,"SF District 5","94131"
"SF481997","SLD","158 Langton Street",,"20","SANFRCISCO","$1,095,000","$1,200,000","CO","1007","2","1","1",,,"1906","150","M","4/5/2019",,"SF District 9","94103"
"SF503172","SLD","78 Prosper Street",,"54","SANFRCISCO","$1,095,000","$1,125,000","DE","1080","2","2","0",,,"1900","250","M","10/7/2020",,"SF District 5","94114"
"SF497411","SLD","3530 Wawona Street",,"17","SANFRCISCO","$1,095,000","$1,250,000","DE","1094","3","2","0",,,"1944",,,"6/19/2020",,"SF District 2","94116"
"SF491276","SLD","199 Tiffany Avenue","304","8","SANFRCISCO","$1,095,000","$1,185,000","CO","1115","2","2","0",,,"2004","695","M","11/12/2019",,"SF District 9","94110"
"SF421528392","SLD","2067 28th Avenue",,"11","SANFRCISCO","$1,095,000","$1,810,000","DU","1150","2","1","0",,"0","1946",,,"4/21/2021","75","SF District 2","94116"
"SF495475","SLD","199 Tiffany Avenue","403","13","SANFRCISCO","$1,095,000","$1,252,000","CO","1030","2","2","0",,,"2004","693","M","4/23/2020",,"SF District 9","94110"
"SF503605","SLD","712 Brazil Avenue",,"17","SANFRCISCO","$1,095,000","$1,100,000","DE","1740","5","4","0",,,"1908",,,"9/24/2020",,"SF District 10","94112"
"SF495254","SLD","720 Fell Street","7","8","SANFRCISCO","$1,095,000","$1,270,000","CO","989","2","2","0",,,"1990","320","M","3/20/2020",,"SF District 6","94117"
"SF488544","SLD","993 Dolores Street",,"67","SANFRCISCO","$1,095,000","$1,095,000","DE","1175","2","2","0",,,"1908","298","M","11/15/2019",,"SF District 5","94110"
"SF479746","SLD","309 27th Avenue",,"4","SANFRCISCO","$1,095,000","$1,200,000","CO","1190","1","1","0",,,"1922","315",,"2/15/2019",,"SF District 1","94121"
"SF503360","SLD","1934 McAllister Street",,"10","SANFRCISCO","$1,095,000","$1,355,000","CO","0","3","1","0",,"0","1900","200","M","9/10/2020","121","SF District 6","94115"
"SF490570","SLD","72 Townsend Street","407","54","SANFRCISCO","$1,095,000","$1,050,000","CO","851","1","1","1",,,"2015","772","M","12/6/2019",,"SF District 9","94107"
"SF421542363","SLD","707 15th Avenue",,"36","SANFRCISCO","$1,095,000","$1,450,000","DE","1380","3","2","0",,"0","1919","175","M","6/11/2021","102","SF District 1","94118"
"SF421528430","SLD","1855 Sacramento Street","9","7","SANFRCISCO","$1,095,000","$1,320,000","CO","1164","2","2","0",,"0","1916","464","M","4/26/2021","105","SF District 7","94109"
"SF512140","SLD","2543 16th Avenue",,"15","SANFRCISCO","$1,095,000","$1,910,000","DU","1650","3","1","1",,"0","1926",,,"6/2/2021","95","SF District 2","94116"
"SF504086","SLD","66 Bernard Street","1","6","SANFRCISCO","$1,095,000","$1,166,000","CO",,"2","2","0",,,"1987","185","M","10/16/2020",,"SF District 8","94133"
"SF421580690","SLD","122 Chicago Way",,"10","SANFRCISCO","$1,095,000","$1,390,000","DU","1578","4","3","0",,"0","1951",,,"9/9/2021","70","SF District 10","94112"
"SF491687","SLD","2311 Bryant Street",,"46","SANFRCISCO","$1,095,000","$1,040,000","DE",,"3","1","0",,,"1900",,,"1/3/2020",,"SF District 9","94110"
"SF503160","SLD","2583 44th Avenue",,"9","SANFRCISCO","$1,095,000","$1,315,000","DE","1450","3","2","0",,,"1945",,,"9/29/2020",,"SF District 2","94116"
"SF494218","SLD","199 Tiffany Avenue","407","13","SANFRCISCO","$1,095,000","$1,330,000","CO","1248","2","2","0",,,"2004","753","M","3/9/2020",,"SF District 9","94110 4984"
"SF421580287","SLD","2362 46th Avenue",,"10","SANFRCISCO","$1,095,000","$1,665,000","DU","1403","3","2","0",,"0","1946",,,"9/14/2021","75","SF District 2","94116"
"SF494151","SLD","1515 15th Street","509","0","SANFRCISCO","$1,095,000","$1,080,000","CO","985","2","2","0",,,"2014","585","M","4/20/2020",,"SF District 9","94103"
"SF421518225","SLD","2187 42nd Avenue",,"13","SANFRCISCO","$1,095,000","$1,400,000","DE","1214","3","2","0",,"0","1947",,,"3/26/2021","74","SF District 2","94116"
"SF484739","SLD","92 Putnam Street",,"11","SANFRCISCO","$1,095,000","$1,607,000","DE","1124","2","1","0",,,"1937",,,"6/11/2019",,"SF District 9","94110"
"SF491218","SLD","1924 Great Highway",,"18","SANFRCISCO","$1,095,000","$1,203,000","DE","995","3","1","0",,,"1944",,,"11/20/2019",,"SF District 2","94116"
"SF421531378","SLD","650 2nd Street","302","38","SANFRCISCO","$1,095,000","$1,200,000","CO","1378","1","1","0",,"0","1996","617","M","6/7/2021","25","SF District 9","94107"
"SF421538112","SLD","2412 Harrison Street","201","54","SANFRCISCO","$1,095,000","$1,075,000","CO","1163","1","2","0",,"0","2002","730","M","6/17/2021","19","SF District 9","94110"
"SF421521865","SLD","425 1st Street","2001","28","SANFRCISCO","$1,095,000","$1,095,000","CO","837","1","1","0",,"0","2008","1,089","M","4/8/2021","13","SF District 9","94901"
"SF421533373","SLD","146 Beaver Street",,"5","SANFRCISCO","$1,095,000","$1,272,375","CO","895","1","1","0",,"0","1931","375","M","5/11/2021","90","SF District 5","94114"
"SF499143","SLD","480 Mission Bay Boulevard","715","37","SANFRCISCO","$1,095,000","$1,073,500","CO","731","1","1","0",,,"2012","766","M","7/10/2020",,"SF District 9","94158"
"SF481454","SLD","792 19th Avenue",,"6","SANFRCISCO","$1,095,000","$1,300,000","CO","1145","2","1","0",,,"1921","350","M","3/20/2019",,"SF District 1","94121"
"SF421517048","SLD","2258 47th Avenue",,"11","SANFRCISCO","$1,095,000","$1,675,000","DU","1120","3","1","0",,"0","1952",,,"4/29/2021","69","SF District 2","94116"
"SF421539972","SLD","1776 Sacramento Street","305","70","SANFRCISCO","$1,095,000","$1,025,000","CO","1091","2","2","0",,"0","1992","841",,"7/30/2021","29","SF District 8","94109"
"SF499406","SLD","886 Burnett Avenue",,"5","SANFRCISCO","$1,095,000","$1,435,000","DE",,"3","2","0",,,,,,"7/7/2020",,"SF District 5","94131"
"SF480126","SLD","2737 Bush Street",,"12","SANFRCISCO","$1,095,000","$1,200,000","DE","1123","2","2","0",,"0",,"388","M","2/19/2019",,"SF District 6","94115"
"SF421553990","SLD","285 Cayuga Avenue",,"11","SANFRCISCO","$1,095,000","$1,455,000","DE","1200","3","2","0",,"0","1939",,,"8/20/2021","82","SF District 10","94112"
"SF510955","SLD","49 Niagara Avenue",,"7","SANFRCISCO","$1,095,000","$1,310,000","DE","1625","4","2","0",,"0","1913",,,"1/15/2021",,"SF District 10","94112"
"SF421533767","SLD","79 Norton Street",,"10","SANFRCISCO","$1,095,000","$1,390,000","DE","0","2","1","0",,"0","1905",,,"6/23/2021","116","SF District 10","94112"
"SF487030","SLD","1038 Ingerson Avenue",,"21","SANFRCISCO","$1,095,000","$1,400,000","DE","2130","4","5","0",,,"1928",,,"8/30/2019",,"SF District 10","94124"
"SF506039","SLD","2550 26th Avenue",,"6","SANFRCISCO","$1,095,000","$1,415,000","DE","1550","2","1","0",,,"1931",,,"12/3/2020",,"SF District 2","94116"
"SF421517974","SLD","351 Buena Vista Avenue","603","40","SANFRCISCO","$1,095,000","$1,070,000","CO","829","1","1","0",,"0","1987","849","M","4/26/2021","34","SF District 5","94117"
"SF421590890","SLD","34 Otsego Avenue",,"10","SANFRCISCO","$1,095,000","$1,390,000","DU","1395","3","1","0",,"0","1924",,,"10/1/2021","97","SF District 10","94112"
"SF506875","SLD","2335 30th Avenue",,"13","SANFRCISCO","$1,095,000","$1,500,000","DE",,"3","2","0",,,"1926",,,"11/10/2020",,"SF District 2","94116"
"SF480177","SLD","690 Spruce Street","103","17","SANFRCISCO","$1,095,000","$1,300,000","CO","1246","2","2","0",,,"2008","585","M","3/6/2019",,"SF District 1","94118"
"SF494233","SLD","3917 20th Street",,"62","SANFRCISCO","$1,095,000","$1,280,000","CO","1125","2","1","0",,,"1885","280","M","4/30/2020",,"SF District 5","94114"
"SF421542414","SLD","135 Manor Drive",,"7","SANFRCISCO","$1,095,000","$1,550,000","DE","1212","2","2","0",,"0","1928",,,"5/11/2021","93","SF District 4","94127"
"SF421529862","SLD","56 Bitting Avenue",,"15","SANFRCISCO","$1,095,000","$1,238,000","CO","2054","5","3","1",,"0","1999","21","M","5/6/2021","22","SF District 10","94124"
"SF514885","SLD","1970 Sutter Street","205","29","SANFRCISCO","$1,095,000","$1,218,000","CO","1135","1","2","0",,"0","2001","632","M","3/10/2021","20","SF District 6","94115"
"SF483334","SLD","1774 Sanchez Street",,"13","SANFRCISCO","$1,095,000","$1,325,000","CO","1010","2","1","1",,,"1914","265",,"7/5/2019",,"SF District 5","94131"
"SF494449","SLD","761 Tehama Street","2","36","SANFRCISCO","$1,095,000","$1,100,000","CO","1360","2","2","1",,"0","2001","609","M","3/17/2020","20","SF District 9","94103"
"SF421523652","SLD","20 Newman Street",,"9","SANFRCISCO","$1,095,000","$1,277,000","DE","0","2","1","0",,"0","1908",,,"3/12/2021","113","SF District 9","94110"
"SF421524554","SLD","724 16th Avenue","6","20","SANFRCISCO","$1,095,000","$1,058,000","DE","0","2","1","1",,"0","1922","375","M","5/20/2021","99","SF District 1","94118"
"SF421579715","SLD","1235 22nd Avenue",,"8","SANFRCISCO","$1,095,000","$1,575,000","DU","1500","3","1","0",,"0","1919",,,"9/7/2021","102","SF District 2","94122"
"SF478758","SLD","555 Natoma Street","3","8","SANFRCISCO","$1,095,000","$1,315,000","CO","1639","2","2","1",,,"1999","489","M","2/27/2019",,"SF District 9","94103"
"SF507477","SLD","393 Paris Street",,"21","SANFRCISCO","$1,095,000","$1,265,000","DE","1200","3","1","1",,,"1902",,,"11/12/2020",,"SF District 10","94112"
"SF491418","SLD","470 46th Avenue",,"11","SANFRCISCO","$1,095,000","$1,310,000","DE","1285","2","1","0",,,"1922",,,"11/12/2019",,"SF District 1","94121"
"SF494934","SLD","320 Alabama Street","4","77","SANFRCISCO","$1,095,000","$1,144,000","CO","1271","1","1","1",,,"2003","690","M","5/12/2020",,"SF District 9","94110"
"SF491517","SLD","2082 33rd Avenue",,"29","SANFRCISCO","$1,095,000","$1,330,000","DE","1312","3","1","0",,,"1946",,,"11/29/2019",,"SF District 2","94116"
"SF493866","SLD","1862 26th Avenue",,"12","SANFRCISCO","$1,095,000","$1,575,000","DE","1300","2","1","0",,,"1939",,,"3/12/2020",,"SF District 2","94122"
"SF487391","SLD","1209 Noe Street",,"43","SANFRCISCO","$1,095,000","$1,185,000","CO","1041","2","1","0",,,,"450","M","12/12/2019",,"SF District 5","94114"
"SF492144","SLD","2425 Franklin Street","A","8","SANFRCISCO","$1,095,000","$1,305,000","CO","996","2","1","0",,,"1908","350","M","12/5/2019",,"SF District 7","94123"
"SF483652","SLD","4168 17th Street","A","10","SANFRCISCO","$1,095,000","$1,455,000","CO","921","2","2","0",,,"1904","200","M","5/10/2019",,"SF District 5","94114"
"SF498438","SLD","1515 15th Street","307","42","SANFRCISCO","$1,095,000","$1,050,000","CO","999","2","2","0",,,"2014","582","M","7/6/2020",,"SF District 9","94103"
"SF489213","SLD","25 Madrid Street",,"9","SANFRCISCO","$1,095,000","$1,300,000","DE","1515","2","1","0",,,"1912",,,"10/7/2019",,"SF District 10","94112"
"SF498580","SLD","85 Uranus Terrace","A","51","SANFRCISCO","$1,095,000","$1,075,000","CO","1000","1","1","0",,,"1900","250",,"7/13/2020",,"SF District 5","94114"
"SF514475","SLD","2060 Sutter Street","507","7","SANFRCISCO","$1,095,000","$1,365,000","CO","988","2","2","0",,"0","1984","716","M","2/11/2021","37","SF District 6","94115"
"SF491095","SLD","1918 35th Avenue",,"17","SANFRCISCO","$1,095,000","$1,135,000","DE","1103","2","1","0",,"0","1943",,,"11/19/2019","78","SF District 2","94116"
"SF485290","SLD","53 Oakwood Street",,"6","SANFRCISCO","$1,095,000","$1,350,000","CO","1033","2","1","0",,,"1922","225",,"6/19/2019",,"SF District 5","94110"
"SF504092","SLD","1412 McAllister Street","C","7","SANFRCISCO","$1,095,000","$1,110,000","CO","945","2","1","0",,,"1900","300","M","9/22/2020",,"SF District 6","94115"
"SF497310","SLD","1314 Larkin Street",,"32","SANFRCISCO","$1,095,000","$1,050,000","CO","1445","3","1","0",,"0","1908","323","M","6/3/2020","113","SF District 8","94109"
"SF421575666","SLD","333 1st Street","205","20","SANFRCISCO","$1,095,000","$1,095,000","CO","778","1","1","0",,"0","2004","854","M","9/22/2021","17","SF District 9","94105"
"SF486097","SLD","1515 15th Street","309","18","SANFRCISCO","$1,095,000","$1,170,000","CO","985","2","2","0",,,"2014","562","M","7/23/2019",,"SF District 9","94103"
"SF493302","SLD","338 Main Street","7D","52","SANFRCISCO","$1,095,000","$1,050,000","CO","880","1","1","0",,,"2016","1,130","M","2/28/2020",,"SF District 9","94105"
"SF502522","SLD","1560 Jones Street",,"31","SANFRCISCO","$1,095,000","$1,075,000","DE","1155","2","2","0",,"0","1910","425",,"8/31/2020","111","SF District 8","94109"
"SF500503","SLD","560 Haight Street","110","20","SANFRCISCO","$1,095,000","$1,070,000","CO","1202","2","2","0",,,"2001","626","M","7/31/2020",,"SF District 6","94117"
"SF421530074","SLD","2615 47th Avenue",,"11","SANFRCISCO","$1,095,000","$1,450,000","DE","1094","3","1","0",,"0","1944",,,"5/3/2021","77","SF District 2","94116"
"SF421567494","SLD","1382 Page Street","2","6","SANFRCISCO","$1,095,000","$1,275,000","CO","1050","2","1","0",,"0","1900","296","M","8/2/2021","121","SF District 5","94117"
"SF500795","SLD","207 King Street","504","160","SANFRCISCO","$1,095,000","$995,000","CO","1002","1","1","1",,,"2003","630","M","12/17/2020",,"SF District 9","94107"
"SF421576237","SLD","180 Dolores Street","6","14","SANFRCISCO","$1,095,000","$1,150,000","CO","0","2","2","0",,"0","1921","496","M","9/29/2021","100","SF District 5","94103"
"SF506657","SLD","119 Crescent Avenue",,"9","SANFRCISCO","$1,095,000","$1,250,000","DE","1484","3","1","0",,,"1905",,,"11/20/2020",,"SF District 9","94110"
"SF515533","SLD","401 Harrison Street","38A","83","SANFRCISCO","$1,095,000","$1,080,000","CO","840","1","1","0",,"0","2014","1,247","M","5/7/2021","7","SF District 9","94105"
"SF421576540","SLD","75 Lisbon Street",,"11","SANFRCISCO","$1,095,000","$1,400,000","DE","1218","3","1","0",,"0","1923",,,"8/27/2021","98","SF District 10","94112"
"SF421529224","SLD","2507 Polk Street",,"8","SANFRCISCO","$1,095,000","$1,500,000","CO","1235","2","2","0",,"0","1900","400","M","4/23/2021","121","SF District 8","94109"
"SF498972","SLD","1039 Girard Street",,"55","SANFRCISCO","$1,095,000","$1,050,000","DE","1493","3","2","0",,"0","1946",,,"8/4/2020","75","SF District 10","94134"
"SF421544431","SLD","2919 Pacific Avenue","2","13","SANFRCISCO","$1,095,000","$1,305,000","CO","1125","2","1","0",,"0","1905","725","M","6/2/2021","116","SF District 7","94225 1035"
"ML81795012","SLD","480 N Mission Bay Boulevard","715","39","SANFRCISCO","$1,095,000","$1,073,500","CO","731","1","1",,"Y","1","2012","767",,"7/15/2020","8","Mission Bay","94158"
"SF492713","SLD","344 Holladay Avenue",,"44","SANFRCISCO","$1,095,000","$1,085,000","DE","913","2","1","0",,"0","1907",,,"1/16/2020","114","SF District 9","94110"
"SF421545240","SLD","4163 23rd Street",,"7","SANFRCISCO","$1,095,000","$1,200,000","CO","1014","2","1","0",,"0","1906","384","M","8/20/2021","115","SF District 5","94114"
"SF421561444","SLD","2828 Greenwich Street","6","97","SANFRCISCO","$1,095,000","$1,060,000","CO","0","2","1","0",,"0","1960","815","M","9/22/2021","61","SF District 7","94123"
"SF491514","SLD","1554 Shafter Avenue",,"22","SANFRCISCO","$1,095,000","$1,200,000","DE","1732","4","2","0",,,"1951",,,"2/28/2020",,"SF District 10","94124"
"40869447","SLD","1458 Rhode Island St",,"8","SANFRCISCO","$1,095,000","$1,200,000","DE","987","0","1","0","Y","1","1925",,,"7/16/2019","94","San Francisco County","94107"
"SF421572825","SLD","21 University Street",,"7","SANFRCISCO","$1,095,000","$1,375,000","DE","1600","3","2","0",,"0","1939",,,"8/20/2021","82","SF District 10","94134"
"ML81815190","SLD","4026 Ulloa",,"9","SANFRCISCO","$1,095,000","$1,260,000","DE","1485","4","2",,"Y","2","1944",,,"11/13/2020","76","Outer Parkside","94116"
"SF490150","SLD","600 Chestnut Street","107","26","SANFRCISCO","$1,095,000","$1,150,000","CO","1245","2","2","0",,,"1995","630",,"11/12/2019",,"SF District 8","94133"
"ML81753467","SLD","3620 Market Street","5","11","SANFRCISCO","$1,095,000","$1,350,000","CO","1180","2","2","1","Y","1","1987","495",,"7/1/2019","32","Twin Peaks","94131"
"ML81748123","SLD","212 Sagamore Street",,"16","SANFRCISCO","$1,095,000","$1,100,000","DE","1501","4","2",,"Y","3","1967",,,"6/21/2019","52","Oceanview","94112"
"SF492242","SLD","639 Silver Avenue",,"68","SANFRCISCO","$1,095,000","$1,278,000","DE","1595","3","2","0",,"0","1964",,,"2/24/2020","57","SF District 10","94134"
"ML81769232","SLD","100 Augusta Street",,"15","SANFRCISCO","$1,095,000","$1,320,000","DE","2075","4","1","2","Y","1","1947",,,"11/15/2019","72","Silver Terrace","94124"
"SF493588","SLD","373 Baltimore Way",,"27","SANFRCISCO","$1,095,000","$1,350,000","DE","1588","3","2","0",,,"1960",,,"2/12/2020",,"SF District 10","94112 4432"
"SF421561860","SLD","3438 S Ortega Street",,"8","SANFRCISCO","$1,095,000","$1,450,000","DE","1016","2","1","0",,"0","1944",,,"7/7/2021","77","SF District 2","94122"
"SF421584259","SLD","11 Perego Terrace","3","7","SANFRCISCO","$1,095,000","$1,500,000","CO","1470","3","2","0",,"0","1962","560","M","9/16/2021","59","SF District 5","94131"
"SF482321","SLD","317 29th Street","402","6","SANFRCISCO","$1,095,000","$1,350,000","CO","962","1","2","0",,,,"600","M","4/8/2019",,"SF District 5","94131"
"SF499941","SLD","2011 3rd Street","6","38","SANFRCISCO","$1,095,000","$1,110,000","CO","1210","2","2","0",,,"1997","562","M","8/7/2020",,"SF District 9","94107"
"SF421544612","SLD","781 University Street",,"10","SANFRCISCO","$1,095,000","$1,400,000","DU","0","2","1","0",,"0","1958",,,"8/27/2021","63","SF District 10","94134"
"SF509015","SLD","588 South Van Ness Avenue","9","69","SANFRCISCO","$1,095,000","$1,095,000","CO","1450","2","2","1",,"0","2001","528","M","1/15/2021","20","SF District 9","94110"
"SF495758","SLD","663 Lakeview Avenue",,"10","SANFRCISCO","$1,095,000","$1,350,000","DE","1840","3","2","0",,"0","1910",,,"5/19/2020","111","SF District 3","94112 2201"
"SF508803","SLD","245 Central Avenue",,"11","SANFRCISCO","$1,095,000","$1,204,500","CO","1095","3","2","0",,,"1908","506","M","12/7/2020",,"SF District 5","94117"
"SF487616","SLD","88 King Street","1409","23","SANFRCISCO","$1,095,000","$1,420,000","CO","1105","2","2","0",,,"2000","1,127",,"11/13/2020",,"SF District 9","94107"
"SF421521955","SLD","27 Arnold Avenue",,"8","SANFRCISCO","$1,095,000","$1,511,000","DU","1200","2","1","0",,"0","1942",,,"3/31/2021","79","SF District 9","94110"
"SF421585432","SLD","2358 41st Avenue",,"13","SANFRCISCO","$1,095,000","$1,500,000","DU","1176","2","1","0",,"0","1955",,,"10/1/2021","66","SF District 2","94116"
"SF512931","SLD","638 Minna Street","12","54","SANFRCISCO","$1,095,000","$1,135,000","CO","1486","2","2","1",,"0","1998","792","M","3/23/2021","23","SF District 9","94103"
"SF506817","SLD","290 Holyoke Street",,"39","SANFRCISCO","$1,095,000","$1,090,000","DE","1652","3","2","1",,,"1952",,,"12/8/2020",,"SF District 10","94134 1440"
"SF421561343","SLD","151 Alice B. Toklas Place","502","25","SANFRCISCO","$1,095,000","$1,150,000","CO","1257","2","2","0",,"0","1920","877","M","7/16/2021","101","SF District 8","94109"
"SF481280","SLD","401 Harrison","26G","3","SANFRCISCO","$1,096,000","$1,096,000","CO","759","1","1","0",,,"2014","1,124","M","4/12/2019",,"SF District 9","94105"
"SF487232","SLD","12 Jakey Court",,"38","SANFRCISCO","$1,097,000","$1,016,000","DE","1776","3","2","0",,,"1984","150","M","10/11/2019",,"SF District 10","94124"
"SF480358","SLD","701 Pennsylvania Avenue","105","49","SANFRCISCO","$1,097,000","$1,090,000","CO","1155","2","2","1",,,"1999","561",,"3/29/2019",,"SF District 9","94107"
"SF486501","SLD","1471 12th Avenue",,"0","SANFRCISCO","$1,098,000","$1,200,000","CO","1167","2","1","0",,"0","1924","200",,"6/20/2019","97","SF District 2","94122"
"SF490577","SLD","477 45th Avenue",,"32","SANFRCISCO","$1,098,000","$1,350,000","DE","1200","2","1","0",,,"1923",,,"11/21/2019",,"SF District 1","94121"
"SF489125","SLD","1455 40th Avenue",,"13","SANFRCISCO","$1,098,000","$1,455,000","DU","1460","3","1","0",,,"1938",,,"10/9/2019",,"SF District 2","94122"
"SF499270","SLD","229 Minerva Street",,"35","SANFRCISCO","$1,098,000","$1,100,000","DE","1870","4","2","0",,"0","1948",,,"7/15/2020","73","SF District 3","94112"
"ML81804937","SLD","176 Gladstone Drive",,"10","SANFRCISCO","$1,098,000","$1,327,000","DE","1439","2","2",,"Y","1","2002",,,"9/14/2020","18","SF Excelsior","94112"
"40911127","SLD","501 33 Rd Ave.","301","38","SANFRCISCO","$1,098,000","$1,090,000","CO","1733","3","3",,"Y","1","2006","572","M","9/9/2020","14","San Francisco County","94121"
"SF490984","SLD","939 Jackson Street","203","41","SANFRCISCO","$1,098,000","$1,100,000","CO","1180","1","1","1",,,"2005","529",,"12/5/2019",,"SF District 8","94133"
"ML81849650","SLD","2337 25th Street",,"11","SANFRCISCO","$1,098,000","$1,230,000","DE","878","2","1",,"Y","1","1926",,,"7/23/2021","95","Potrero Hill","94107"
"40947178","SLD","530 Vienna St",,"15","SANFRCISCO","$1,098,000","$1,320,000","DE","2154","3","2","0","Y","1","1926",,,"6/23/2021","95","San Francisco County","94112"
"SF507745","SLD","182 Majestic Avenue",,"17","SANFRCISCO","$1,098,000","$1,400,000","DE","1370","3","2","0",,"0","1980",,,"1/29/2021","41","SF District 3","94112"
"SF482706","SLD","2577 San Jose Avenue",,"10","SANFRCISCO","$1,098,000","$1,098,000","DE","2200","3","2","0",,,"1900",,,"4/30/2019",,"SF District 10","94112"
"ML81818356","SLD","1738 48th Avenue",,"1","SANFRCISCO","$1,098,000","$1,075,000","DE","800","2","1",,"Y","1","1944",,,"11/19/2020","76","Outer Sunset","94122"
"ML81770476","SLD","477 45th Avenue",,"42","SANFRCISCO","$1,098,000","$1,350,000","DE","1200","2","1",,,"0","1923",,,"11/21/2019","96","Outer Richmond","94121"
"SF421569811","SLD","99 Pope Street",,"7","SANFRCISCO","$1,098,000","$1,425,000","DE","1517","0","0","0",,"0","1951",,,"8/6/2021","70","SF District 10","94112"
"SF481648","SLD","201 Harrison Street","303","26","SANFRCISCO","$1,098,000","$1,030,000","CO","1105","2","2","0",,,"1991","734","M","5/3/2019",,"SF District 9","94105"
"SF513263","SLD","242 Capp Street","A","181","SANFRCISCO","$1,098,000","$1,100,000","CO","1657","3","1","1",,"0","1909","500","M","7/23/2021","112","SF District 9","94110 1212"
"SF504363","SLD","201 Sansome Street","602","105","SANFRCISCO","$1,098,000","$1,020,000","CO","985","2","2","0",,"0","1909","712","M","1/7/2021","112","SF District 8","94104"
"SF500287","SLD","7 Lee Avenue",,"8","SANFRCISCO","$1,098,000","$1,350,000","DE","1406","2","2","1",,,"1924",,,"8/7/2020",,"SF District 3","94112 2343"
"SF488012","SLD","1000 North Point Street","509","32","SANFRCISCO","$1,098,000","$1,070,000","DE","1089","2","1","0",,"0","1963","1,201","M","10/10/2019","58","SF District 8","94109"
"SF421541579","SLD","425 14th Street","2","17","SANFRCISCO","$1,098,000","$1,200,000","CO","1099","2","2","0",,"0","2001","598","M","6/1/2021","20","SF District 5","94103"
"SF490199","SLD","2479 33rd Avenue",,"20","SANFRCISCO","$1,098,000","$1,275,000","DU","1075","2","1","0",,,"1922",,,"10/30/2019",,"SF District 2","94116"
"SF505932","SLD","2122 Taraval Street","B","53","SANFRCISCO","$1,098,000","$1,075,000","CO","1562","3","2","0",,,"2003","405","M","11/13/2020",,"SF District 2","94116"
"SF421516429","SLD","1441 Florida Street",,"37","SANFRCISCO","$1,098,000","$1,110,000","DE","1300","2","1","1",,"0","1912","200","M","4/12/2021","109","SF District 9","94110"
"SF485626","SLD","1719 35th Avenue",,"47","SANFRCISCO","$1,098,000","$1,430,000","DE","1560","3","2","0",,,"1940",,,"7/17/2019",,"SF District 2","94122"
"SF510821","SLD","1083 Jamestown Avenue",,"66","SANFRCISCO","$1,098,000","$1,225,000","DE","2200","5","3","0",,"0","1965",,,"2/19/2021","56","SF District 10","94124"
"SF487422","SLD","71 Harold Avenue",,"23","SANFRCISCO","$1,098,000","$1,210,000","DE","1850","4","2","0",,,"1928",,,"8/23/2019",,"SF District 3","94112"
"SF496734","SLD","1288 McAllister Street","101","67","SANFRCISCO","$1,098,000","$1,125,000","CO","1212","2","1","0",,,"1987","685","M","7/16/2020",,"SF District 6","94115"
"SF477544","SLD","1488 Harrison Street","305","98","SANFRCISCO","$1,098,000","$1,080,000","CO","1166","2","2","0",,"0","1981","589","M","2/19/2019","40","SF District 9","94103"
"SF484664","SLD","633 Hampshire Street","5","8","SANFRCISCO","$1,098,000","$1,310,000","CO","1170","1","1","1",,,"2001","364","M","6/6/2019",,"SF District 9","94110"
"SF500873","SLD","501 33rd Avenue","301","42","SANFRCISCO","$1,098,000","$1,090,000","CO","1733","3","3","0",,"0","2006","572","M","9/9/2020","15","SF District 1","94121"
"SF509246","SLD","1738 48th Avenue",,"16","SANFRCISCO","$1,098,000","$1,075,000","DE","800","2","1","0",,"0","1944",,,"11/19/2020","77","SF District 2","94122"
"SF491053","SLD","684 Clarendon Avenue",,"69","SANFRCISCO","$1,098,000","$1,150,000","TH","1485","2","2","1",,"0","1977","744",,"12/27/2019","44","SF District 4","94131"
"SF479600","SLD","1910 45th Avenue",,"13","SANFRCISCO","$1,098,000","$1,250,000","DE","1837","4","2","0",,,"1946",,,"2/1/2019",,"SF District 2","94116"
"SF491705","SLD","125 Gilbert Street","9","18","SANFRCISCO","$1,098,000","$1,275,000","CO","1828","2","2","1",,,"1996","825","M","11/27/2019",,"SF District 9","94103"
"SF494791","SLD","60 Rice Street",,"61","SANFRCISCO","$1,098,000","$1,050,000","DE","1200","2","1","0",,"0","1927",,,"6/16/2020","94","SF District 10","94112"
"SF484518","SLD","1735 19th Avenue",,"12","SANFRCISCO","$1,098,000","$1,375,000","TH","1920","2","2","0",,"0","2001","260",,"6/14/2019","20","SF District 2","94122"
