,MLS No,Status,Address,Unit,DOM,City,LP,SP,BT,SqFt,BR,Bth,Gar,GarSp,YrBlt,HOA Fee,Freq,Closing Date,Age,Area,Zip
4375,ML81833832,SLD,3321 Lake Albano Circle,,20,SAN JOSE,"$749,000","$737,000",TH,1776,2,2,Y,2.0,1985.0,"1,161",M,4/20/2021,36.0,Evergreen,95135
4376,ML81811798,SLD,350 E Mission Street,212,9,SAN JOSE,"$749,000","$735,000",CO,1077,1,1,Y,1.0,2001.0,440,M,10/19/2020,19.0,Central San Jose,95112
4377,ML81766096,SLD,1578 Roberts Avenue,,52,SAN JOSE,"$749,000","$740,000",DE,1124,3,2,Y,2.0,1977.0,,,12/10/2019,42.0,South San Jose,95122
4378,ML81820036,SLD,1870 Vollmer Way,,20,SAN JOSE,"$749,000","$775,000",DE,1058,3,2,Y,1.0,1948.0,,,12/11/2020,72.0,Alum Rock,95116
4379,ML81816139,SLD,925 The Alameda,318,52,SAN JOSE,"$749,000","$729,000",CO,992,1,1,Y,1.0,2006.0,355,M,1/8/2021,14.0,Central San Jose,95126
4380,ML81741565,SLD,6311 Snell Avenue,,8,SAN JOSE,"$749,000","$815,000",DE,1409,3,2,Y,2.0,1968.0,,,4/2/2019,51.0,Blossom Valley,95123
4381,ML81735620,SLD,1262 Lick Avenue,,6,SAN JOSE,"$749,000","$810,000",TH,1305,2,2,Y,2.0,2004.0,307,,2/19/2019,15.0,Central San Jose,95110
4382,ML81764129,SLD,220 Whirlaway Drive,,41,SAN JOSE,"$749,000","$740,000",DE,1170,4,2,Y,2.0,1963.0,,,10/23/2019,56.0,South San Jose,95111
4383,ML81853015,SLD,144 S 3rd Street,531,37,SAN JOSE,"$749,000","$725,000",CO,1421,2,2,Y,2.0,1997.0,664,M,8/27/2021,24.0,Central San Jose,95112
4384,ML81835232,SLD,1733 Foley Avenue,,32,SAN JOSE,"$749,000","$750,000",DE,1040,3,2,Y,1.0,1959.0,,,5/28/2021,62.0,Alum Rock,95122
4385,ML81790199,SLD,7821 Prestwick Circle,,7,SAN JOSE,"$749,000","$725,000",CO,1804,2,2,Y,2.0,1989.0,937,,5/14/2020,31.0,Evergreen,95135
4386,ML81752728,SLD,1103 Prevost Court,,4,SAN JOSE,"$749,000","$805,000",TH,1272,2,2,Y,1.0,1979.0,510,,6/18/2019,40.0,Willow Glen,95125
4387,ML81850682,SLD,2988 Grassina Street,333,6,SAN JOSE,"$749,000","$765,000",CO,1200,2,2,Y,2.0,2006.0,488,,7/30/2021,15.0,South San Jose,95136
4388,ML81753538,SLD,3233 Mount Vista Drive,,61,SAN JOSE,"$749,000","$750,000",DE,1420,3,1,Y,1.0,1958.0,,,9/5/2019,61.0,Alum Rock,95127
4389,ML81797598,SLD,4734 Clear River Court,,6,SAN JOSE,"$749,000","$765,000",TH,1441,3,2,Y,2.0,1977.0,382,,8/18/2020,43.0,Blossom Valley,95136
4390,ML81744974,SLD,2506 Home Crest Drive,,14,SAN JOSE,"$749,000","$770,000",DE,1336,3,2,Y,2.0,1984.0,115,,5/15/2019,35.0,Alum Rock,95148
4391,ML81796856,SLD,273 Stagehand Drive,,8,SAN JOSE,"$749,000","$815,000",DE,1263,3,2,Y,2.0,1961.0,,,7/17/2020,59.0,South San Jose,95111
4392,ML81756728,SLD,2112 Quimby Road,,12,SAN JOSE,"$749,000","$780,000",DE,1393,4,1,,0.0,1961.0,,,7/31/2019,58.0,Evergreen,95122
4393,ML81836626,SLD,432 N 7th Street,,8,SAN JOSE,"$749,000","$850,000",DE,996,3,1,Y,2.0,1905.0,,,5/27/2021,116.0,Central San Jose,95112
4394,ML81799278,SLD,547 Marble Arch Avenue,,4,SAN JOSE,"$749,000","$760,000",TH,1057,2,2,Y,2.0,2000.0,265,,7/28/2020,20.0,South San Jose,95136
4395,ML81757404,SLD,1780 Clarice Drive,,5,SAN JOSE,"$749,000","$800,000",DE,1757,6,2,Y,2.0,1965.0,,,7/5/2019,54.0,Evergreen,95122
4396,ML81784527,SLD,1574 PENSACOLA Drive,,13,SAN JOSE,"$749,000","$750,000",DE,1128,3,2,Y,2.0,1961.0,,,4/24/2020,59.0,Alum Rock,95122
4397,ML81804117,SLD,7437 Tulare Hill Drive,,2,SAN JOSE,"$749,000","$790,000",TH,1655,3,2,Y,2.0,1982.0,450,,8/21/2020,38.0,Santa Teresa,95139
4398,ML81824033,SLD,1701 Prudence Way,,56,SAN JOSE,"$749,000","$750,000",DE,1388,3,2,Y,2.0,1987.0,225,M,4/22/2021,33.0,Alum Rock,95116
4399,ML81842252,SLD,1118 Audubon Drive,,6,SAN JOSE,"$749,000","$850,000",DE,1028,3,1,Y,2.0,1960.0,,,6/10/2021,61.0,South San Jose,95122
4400,ML81760583,SLD,4524 RHAPSODY Way,,7,SAN JOSE,"$749,000","$765,000",DE,1137,3,2,Y,2.0,1958.0,,,8/22/2019,61.0,South San Jose,95111
4401,ML81767485,SLD,5407 Studebaker Circle,,13,SAN JOSE,"$749,000","$850,000",DE,1123,3,2,Y,2.0,1985.0,,,10/15/2019,34.0,Blossom Valley,95136
4402,ML81738611,SLD,1544 Mount SHASTA Drive,,11,SAN JOSE,"$749,000","$750,000",DE,1198,3,2,Y,2.0,1959.0,,,3/5/2019,60.0,Alum Rock,95127
4403,ML81782637,SLD,2790 Garden Avenue,,64,SAN JOSE,"$749,000","$700,000",DE,1249,2,1,,0.0,1924.0,,,6/9/2020,96.0,South San Jose,95111
4404,ML81797061,SLD,383 Nerdy Avenue,,13,SAN JOSE,"$749,000","$715,000",DE,1113,3,2,Y,2.0,1959.0,,,7/31/2020,61.0,South San Jose,95111
4405,ML81759742,SLD,1028 E McGinness Avenue,,20,SAN JOSE,"$749,000","$740,000",DE,1194,3,2,Y,2.0,1979.0,,,9/3/2019,40.0,Alum Rock,95127
4406,ML81751475,SLD,57 Deer Run Circle,,41,SAN JOSE,"$749,000","$740,000",TH,1452,3,2,Y,2.0,1988.0,280,,7/17/2019,31.0,Blossom Valley,95136
4407,ML81783591,SLD,535 Marble Arch Avenue,,9,SAN JOSE,"$749,000","$750,000",CO,1370,2,2,Y,2.0,2000.0,255,,4/3/2020,20.0,South San Jose,95136
4408,ML81848831,SLD,4628 Columbia River Court,,6,SAN JOSE,"$749,000","$835,000",TH,1441,3,2,Y,2.0,1973.0,440,M,7/30/2021,48.0,Blossom Valley,95136
4409,ML81762333,SLD,607 Easton Drive,,39,SAN JOSE,"$749,000","$715,000",DE,1271,3,2,Y,2.0,1981.0,,,10/29/2019,38.0,Berryessa,95133
4410,ML81776808,SLD,447 Independence Drive,,5,SAN JOSE,"$749,000","$795,000",DE,1927,3,2,Y,2.0,1962.0,,,1/3/2020,57.0,South San Jose,95111
4411,ML81749148,SLD,234 Herlong Avenue,,6,SAN JOSE,"$749,000","$750,000",DE,1203,3,2,Y,2.0,1966.0,,,6/10/2019,53.0,Blossom Valley,95123
4412,ML81796375,SLD,3561 Judro Way,,6,SAN JOSE,"$749,000","$740,000",TH,1014,2,1,Y,1.0,1985.0,357,,7/20/2020,35.0,Campbell,95117
4413,ML81834929,SLD,300 Araglin Court,,7,SAN JOSE,"$749,000","$850,000",TH,1168,2,2,Y,2.0,1995.0,265,M,4/30/2021,26.0,South San Jose,95136
4414,ML81737264,SLD,4915 Speak Lane,,6,SAN JOSE,"$749,000","$790,000",TH,1420,3,2,Y,2.0,1981.0,350,,3/6/2019,38.0,Cambrian,95118
4415,ML81771102,SLD,401 Northlake Drive,2,30,SAN JOSE,"$749,000","$746,000",CO,1191,2,2,Y,2.0,1985.0,412,,12/18/2019,34.0,Campbell,95117
4416,ML81841901,SLD,1335 Zephyr Court,,14,SAN JOSE,"$749,000","$710,000",DE,1145,3,2,Y,2.0,1957.0,,,5/27/2021,64.0,Alum Rock,95127
4417,ML81781906,SLD,7384 Tulare Hill Drive,,6,SAN JOSE,"$749,000","$780,000",TH,1655,3,2,Y,2.0,1982.0,450,,3/17/2020,38.0,Santa Teresa,95139
4418,ML81759242,SLD,6159 Montgomery Place,,154,SAN JOSE,"$749,000","$655,000",TH,1740,2,2,Y,2.0,1973.0,"1,057",,11/19/2019,46.0,Evergreen,95135
4419,ML81748920,SLD,20 MANNING Avenue,,26,SAN JOSE,"$749,000","$737,500",DE,1432,4,2,Y,2.0,1948.0,,,6/20/2019,71.0,Alum Rock,95127
4420,ML81755125,SLD,4012 San Simeon Way,,13,SAN JOSE,"$749,000","$758,000",DE,1123,3,2,Y,1.0,1959.0,,,7/3/2019,60.0,South San Jose,95111
4421,ML81768964,SLD,3231 Blue Mountain Drive,,21,SAN JOSE,"$749,000","$735,000",DE,1198,3,2,Y,2.0,1959.0,,,11/22/2019,60.0,Alum Rock,95127
4422,ML81778577,SLD,1579 Camden Village Circle,,13,SAN JOSE,"$749,000","$825,000",TH,1425,2,2,Y,2.0,1982.0,250,,3/10/2020,38.0,Cambrian,95124
4423,ML81736286,SLD,3413 San Marino Avenue,,9,SAN JOSE,"$749,000","$780,000",DE,1075,3,2,Y,2.0,1954.0,,,3/5/2019,65.0,Berryessa,95127
4424,40934949,SLD,3293 Rocky Water Ln,B,6,SAN JOSE,"$749,000","$760,168",CO,1513,2,2,Y,2.0,1981.0,340,M,3/17/2021,40.0,Santa Clara County,95148
4425,ML81779083,SLD,3262 Haga Drive,,27,SAN JOSE,"$749,000","$765,000",DE,1168,4,2,Y,2.0,1969.0,,,3/10/2020,51.0,South San Jose,95111
4426,ML81811496,SLD,4960 Red Creek Drive,,27,SAN JOSE,"$749,000","$750,000",TH,1360,3,2,Y,2.0,1985.0,370,M,11/24/2020,35.0,Blossom Valley,95136
4427,ML81799729,SLD,2028 Foxhall Loop,,9,SAN JOSE,"$749,000","$760,000",TH,1004,2,1,Y,1.0,1984.0,454,,8/7/2020,36.0,Campbell,95125
4428,ML81787949,SLD,344 War Admiral Avenue,,29,SAN JOSE,"$749,000","$760,000",DE,960,3,1,Y,2.0,1963.0,,,6/8/2020,57.0,South San Jose,95111
4429,ML81821213,SLD,2575 Brenford Drive,,5,SAN JOSE,"$749,000","$800,000",DE,1176,3,2,Y,2.0,1978.0,,,1/6/2021,42.0,Alum Rock,95122
4430,ML81807348,SLD,7445 Tulare Hill Drive,,6,SAN JOSE,"$749,000","$775,000",TH,1624,3,3,Y,2.0,1982.0,450,M,10/8/2020,38.0,Santa Teresa,95139
4431,ML81802055,SLD,4553 Cimarron River Court,,8,SAN JOSE,"$749,000","$785,000",TH,1496,3,2,Y,2.0,1973.0,440,,8/27/2020,47.0,Blossom Valley,95136
4432,ML81751465,SLD,7424 Tulare Hill Drive,,43,SAN JOSE,"$749,000","$725,000",TH,1624,3,2,Y,2.0,1982.0,450,,7/19/2019,37.0,Santa Teresa,95139
4433,ML81782532,SLD,876 N 14th Street,,40,SAN JOSE,"$749,000","$708,888",DE,840,2,1,Y,1.0,1930.0,,,3/30/2020,90.0,Central San Jose,95112
4434,ML81805420,SLD,495 White Chapel Avenue,,2,SAN JOSE,"$749,000","$770,000",CO,1370,2,2,Y,2.0,2000.0,265,,9/10/2020,20.0,South San Jose,95136
4435,40874410,SLD,1927 Perrone Cir,,11,SAN JOSE,"$749,000","$765,000",DE,1306,3,2,Y,2.0,1983.0,,,8/8/2019,36.0,Santa Clara County,95116
4436,ML81762571,SLD,332 Grandpark Circle,,5,SAN JOSE,"$749,000","$810,000",DE,1466,4,2,Y,2.0,1968.0,,,9/5/2019,51.0,Blossom Valley,95136
4437,ML81761932,SLD,334 Santana Row,200,19,SAN JOSE,"$749,000","$810,000",CO,880,1,1,Y,1.0,2002.0,448,,9/24/2019,17.0,Campbell,95128
4438,ML81859603,SLD,269 Kirk Avenue,,10,SAN JOSE,"$749,000","$870,000",DE,1346,3,1,,0.0,1947.0,,,10/6/2021,74.0,Alum Rock,95127
4439,ML81825033,SLD,83 Frontier Trail Drive,,13,SAN JOSE,"$749,000","$755,000",TH,1360,3,2,Y,2.0,1988.0,322,,2/9/2021,33.0,Blossom Valley,95136
4440,ML81781709,SLD,1547 Huddersfield Court,,7,SAN JOSE,"$749,000","$820,000",TH,1220,2,1,Y,2.0,1973.0,399,,3/12/2020,47.0,Central San Jose,95126
4441,ML81812159,SLD,4009 San Ysidro Way,,10,SAN JOSE,"$749,000","$780,000",DE,1513,4,3,,0.0,1959.0,,,11/13/2020,61.0,South San Jose,95111
4442,ML81796908,SLD,253 Muirfield Drive,,13,SAN JOSE,"$749,000","$760,000",DE,1730,3,2,Y,2.0,1988.0,,,7/15/2020,32.0,Alum Rock,95116
4443,ML81765770,SLD,225 Seabiscuit Drive,,18,SAN JOSE,"$749,000","$730,000",DE,1132,3,2,,0.0,1961.0,,,10/18/2019,58.0,South San Jose,95111
4444,40908718,SLD,253 Muirfield dr,,13,SAN JOSE,"$749,000","$760,000",DE,1730,3,3,Y,2.0,1988.0,,,7/18/2020,32.0,Santa Clara County,95116
4445,ML81757537,SLD,3263 Hickerson Drive,,22,SAN JOSE,"$749,000","$772,900",DE,1228,3,2,Y,2.0,1962.0,,,8/13/2019,57.0,Alum Rock,95127
4446,ML81827739,SLD,7120 Menaul Court,,29,SAN JOSE,"$749,000","$790,000",TH,1466,3,2,Y,1.0,1979.0,325,M,4/13/2021,42.0,Santa Teresa,95139
4447,ML81751463,SLD,1130 S 9th Street,,5,SAN JOSE,"$749,000","$800,000",DE,972,2,1,Y,1.0,1955.0,,,6/17/2019,64.0,Central San Jose,95112
4448,ML81825473,SLD,2299 Winepol Loop,,7,SAN JOSE,"$749,000","$772,000",CO,1144,2,2,Y,2.0,2005.0,290,M,3/9/2021,16.0,South San Jose,95125
4449,ML81763496,SLD,984 Goodacre Lane,,8,SAN JOSE,"$749,000","$815,000",TH,1247,2,2,Y,2.0,1999.0,336,,9/12/2019,20.0,Blossom Valley,95125
4450,ML81732799,SLD,13581 Emilie Drive,,13,SAN JOSE,"$749,000","$755,000",DE,1242,3,2,,0.0,1952.0,,,1/18/2019,66.0,Alum Rock,95127
4451,ML81771654,SLD,350 S 20th Street,,6,SAN JOSE,"$749,000","$825,000",DE,1156,3,2,,0.0,1951.0,,,12/2/2019,68.0,Central San Jose,95116
4452,ML81791033,SLD,536 Almaden Walk Loop,,10,SAN JOSE,"$749,000","$751,500",CO,1327,2,2,Y,2.0,2008.0,270,M,6/23/2020,12.0,Willow Glen,95125
4453,ML81837630,SLD,7145 Rainbow Drive,4,47,SAN JOSE,"$749,000","$735,000",TH,700,1,1,Y,1.0,1964.0,451,,6/17/2021,57.0,Cupertino,95129
4454,ML81749313,SLD,2729 Lavender Terrace,,15,SAN JOSE,"$749,000","$800,000",TH,1629,3,2,Y,2.0,2010.0,243,,6/10/2019,9.0,South San Jose,95111
4455,ML81778534,SLD,559 E Julian Street,,8,SAN JOSE,"$749,000","$735,000",DE,1370,3,2,,0.0,1908.0,,,1/27/2020,112.0,Central San Jose,95112
4456,ML81818158,SLD,1328 Star Bush Lane,,11,SAN JOSE,"$749,000","$880,000",TH,1102,3,2,Y,2.0,1973.0,439,,12/9/2020,47.0,Cambrian,95118
4457,ML81746031,SLD,1736 Foxworthy Avenue,,8,SAN JOSE,"$749,000","$828,750",DE,1438,4,2,Y,1.0,1954.0,,,5/16/2019,65.0,Cambrian,95124
4458,ML81738848,SLD,4530 Lobos Avenue,,10,SAN JOSE,"$749,000","$800,000",DE,1458,4,2,Y,2.0,1964.0,,,3/26/2019,55.0,South San Jose,95111
4459,ML81745039,SLD,1771 Beverly Boulevard,,45,SAN JOSE,"$749,000","$740,000",DE,1287,3,1,Y,2.0,1948.0,,,6/20/2019,71.0,Alum Rock,95116
4460,ML81849539,SLD,485 Tower Hill Avenue,,6,SAN JOSE,"$749,000","$801,000",TH,1104,2,2,Y,2.0,2000.0,275,M,7/29/2021,21.0,South San Jose,95136
4461,ML81744512,SLD,1320 Zephyr Court,,16,SAN JOSE,"$749,000","$760,000",DE,1241,3,2,Y,1.0,1957.0,,,5/7/2019,62.0,Alum Rock,95127
4462,ML81794030,SLD,1550 Technology Drive,4085,5,SAN JOSE,"$749,000","$745,000",CO,1133,2,2,Y,2.0,2005.0,490,,6/23/2020,15.0,Central San Jose,95110
4463,ML81858514,SLD,1731 Crucero Drive,,10,SAN JOSE,"$749,000","$763,000",DE,1214,3,1,Y,2.0,1971.0,,,10/6/2021,50.0,South San Jose,95122
4464,ML81828488,SLD,1399 S Winchester Boulevard,206,42,SAN JOSE,"$749,000","$750,000",CO,1350,2,2,Y,2.0,2007.0,411,M,4/15/2021,14.0,Campbell,95128
4465,ML81810258,SLD,393 Bangor Avenue,,2,SAN JOSE,"$749,000","$850,000",DE,1649,3,2,Y,2.0,1964.0,,,9/25/2020,56.0,Blossom Valley,95123
4466,ML81834329,SLD,7516 Deveron Court,,68,SAN JOSE,"$749,000","$700,000",CO,1751,2,2,Y,2.0,1989.0,949,M,6/17/2021,32.0,Evergreen,95135
4467,ML81741743,SLD,1609 Clayton Road,,6,SAN JOSE,"$749,000","$749,000",DE,1000,3,1,Y,2.0,1977.0,,,3/29/2019,42.0,Alum Rock,95127
4468,ML81781413,SLD,485 Mignot Lane,,29,SAN JOSE,"$749,000","$760,000",DE,1113,3,1,Y,2.0,1958.0,,,4/29/2020,62.0,South San Jose,95111
4469,ML81826424,SLD,7118 Menaul Court,,5,SAN JOSE,"$749,000","$780,080",TH,1447,3,2,Y,2.0,1979.0,325,M,2/23/2021,42.0,Santa Teresa,95139
4470,ML81748554,SLD,112 Morrow Court,,17,SAN JOSE,"$749,000","$750,000",TH,1447,3,2,Y,2.0,1979.0,315,,6/17/2019,40.0,Santa Teresa,95139
4471,ML81750921,SLD,3159 Saint Florian Way,,21,SAN JOSE,"$749,000","$740,000",CO,1104,2,2,Y,2.0,2004.0,180,,7/2/2019,15.0,South San Jose,95136
4472,ML81819126,SLD,593 Ezie Street,,86,SAN JOSE,"$749,000","$710,000",DE,1113,4,1,Y,2.0,1959.0,,,2/16/2021,61.0,South San Jose,95111
4473,ML81752078,SLD,1550 Technology Drive,2080,7,SAN JOSE,"$749,000","$765,000",CO,1133,2,2,Y,2.0,2005.0,485,,6/25/2019,14.0,Central San Jose,95110
4474,ML81839266,SLD,58 Willow Street,,7,SAN JOSE,"$749,000","$770,000",DE,1064,2,1,,0.0,1900.0,,,6/23/2021,121.0,Central San Jose,95110
4475,ML81804933,SLD,978 Silicon Drive,,2,SAN JOSE,"$749,000","$749,000",CO,1000,2,2,Y,1.0,1985.0,435,,9/9/2020,35.0,Central San Jose,95126
4476,ML81751205,SLD,460 Cheyenne Lane,,2,SAN JOSE,"$749,000","$760,000",DE,1345,4,2,Y,2.0,1965.0,,,6/5/2019,54.0,Blossom Valley,95123
4477,ML81771363,SLD,1927 Cinderella Lane,,34,SAN JOSE,"$749,000","$730,000",DE,1216,3,2,Y,2.0,1964.0,,,12/19/2019,55.0,Alum Rock,95116
4478,ML81764478,SLD,3226 Golf Drive,,37,SAN JOSE,"$749,000","$785,000",DE,1242,4,2,,0.0,1959.0,,,10/11/2019,60.0,Berryessa,95127
4479,40879430,SLD,225 Seabiscuit Dr,,18,SAN JOSE,"$749,000","$730,000",DE,1132,4,3,N,0.0,1961.0,,,10/18/2019,58.0,Santa Clara County,95111
4480,40950766,SLD,2585 RYMAR Dr,,9,SAN JOSE,"$749,000","$821,000",TH,1028,2,2,Y,1.0,1987.0,345,M,6/24/2021,34.0,Santa Clara County,95133
4481,ML81795923,SLD,1152 Brace Avenue,11,83,SAN JOSE,"$749,000","$740,000",TH,954,2,1,,0.0,1976.0,360,M,9/29/2020,44.0,Willow Glen,95125
4482,ML81795797,SLD,5627 Blossom Park Lane,,36,SAN JOSE,"$749,000","$740,000",CO,1224,2,2,Y,1.0,1984.0,385,M,10/8/2020,36.0,Cambrian,95118
4483,BA321014654,SLD,1078 E San Fernando,,29,SAN JOSE,"$749,000","$860,000",DE,700,2,1,,1.0,1910.0,,,5/14/2021,111.0,Central San Jose,95116
4484,ML81794984,SLD,3537 Jasmine Circle,,33,SAN JOSE,"$749,000","$727,000",CO,1037,2,2,Y,1.0,2000.0,250,M,8/5/2020,20.0,Evergreen,95135
4485,ML81805241,SLD,10325 Murtha Drive,,15,SAN JOSE,"$749,499","$760,000",DE,1154,4,2,Y,1.0,1954.0,,,10/14/2020,66.0,Alum Rock,95127
4486,ML81827659,SLD,450 Navaro Way,111,32,SAN JOSE,"$749,500","$749,500",TH,1134,1,1,Y,1.0,1992.0,346,M,3/30/2021,29.0,Alviso (Santa Clara County),95134
4487,ML81776749,SLD,7881 Moorfoot Court,,27,SAN JOSE,"$749,500","$745,000",CO,1572,2,2,Y,2.0,1988.0,967,,2/7/2020,31.0,Evergreen,95135
4488,ML81766906,SLD,38 N Almaden Boulevard,1313,7,SAN JOSE,"$749,500","$775,000",CO,975,1,1,Y,1.0,2008.0,520,,10/1/2019,11.0,Central San Jose,95110
4489,40877817,SLD,514 Savstrom Way,,5,SAN JOSE,"$749,500","$749,500",DE,1056,3,2,Y,2.0,1967.0,,,9/5/2019,52.0,All Other Counties/States,95111
4490,ML81772140,SLD,2102 Bayhaven Drive,,7,SAN JOSE,"$749,500","$740,000",DE,1232,3,2,Y,2.0,1962.0,,,11/26/2019,57.0,Alum Rock,95122
4491,ML81766696,SLD,1865 Platinum Court,,44,SAN JOSE,"$749,700","$749,000",DE,1129,3,2,Y,2.0,1982.0,,,11/27/2019,37.0,Alum Rock,95116
4492,ML81780869,SLD,1550 Technology Drive,1035,49,SAN JOSE,"$749,777","$735,000",CO,1133,2,2,Y,2.0,2005.0,490,M,5/1/2020,15.0,Central San Jose,95110
4493,40946635,SLD,411 Park Ave,139,31,SAN JOSE,"$749,800","$747,500",CO,1048,2,2,N,2.0,1987.0,483,M,6/24/2021,34.0,Santa Clara County,95110-2645
4494,ML81779959,SLD,121 La Quebrada Way,,12,SAN JOSE,"$749,800","$800,000",TH,1702,3,2,Y,2.0,1980.0,520,,2/27/2020,40.0,Alum Rock,95127
4495,ML81753574,SLD,409 N 10th Street,,12,SAN JOSE,"$749,800","$780,000",DE,1298,2,1,Y,2.0,1940.0,,,7/2/2019,79.0,Central San Jose,95112
4496,ML81765209,SLD,3739 Ezie Street,,25,SAN JOSE,"$749,800","$750,000",DE,1123,3,2,Y,2.0,1959.0,,,10/16/2019,60.0,South San Jose,95111
4497,ML81739507,SLD,1512 S Capitol Avenue,,90,SAN JOSE,"$749,800","$768,888",DE,1015,3,2,,0.0,1955.0,,,6/23/2019,64.0,Alum Rock,95127
4498,ML81786855,SLD,533 Sally Garden Court,,9,SAN JOSE,"$749,800","$741,000",TH,1357,2,2,Y,1.0,2010.0,337,M,4/15/2020,10.0,South San Jose,95136
4499,BA22003087,SLD,533 Sally Garden Court,,10,SAN JOSE,"$749,800","$741,000",CO,1357,2,2,,2.0,2010.0,337,M,4/15/2020,11.0,Santa Clara,95136 3792
4500,ML81856979,SLD,2582 Yerba Bank Court,,12,SAN JOSE,"$749,888","$842,000",TH,936,2,2,Y,2.0,1988.0,285,M,9/10/2021,33.0,Evergreen,95121
4501,ML81851609,SLD,226 Truckee Lane,,7,SAN JOSE,"$749,888","$851,000",TH,1175,3,2,Y,2.0,1973.0,480,,7/30/2021,48.0,Blossom Valley,95136
4502,ML81789072,SLD,334 Santana Row,224,50,SAN JOSE,"$749,888","$767,500",CO,880,1,1,Y,1.0,2002.0,485,,6/12/2020,18.0,Campbell,95128
4503,40852787,SLD,1317 Park Pleasant Cir,,10,SAN JOSE,"$749,888","$756,000",DE,1143,3,2,Y,2.0,1965.0,,,3/28/2019,54.0,Santa Clara County,95127
4504,ML81749252,SLD,691 N Capitol Avenue,2,94,SAN JOSE,"$749,888","$750,000",CO,1316,2,2,Y,2.0,2013.0,290,,8/28/2019,6.0,Berryessa,95133
4505,40934688,SLD,144 S 3rd St,410,98,SAN JOSE,"$749,888","$745,000",CO,1421,2,2,Y,2.0,1996.0,664,M,6/3/2021,25.0,Santa Clara County,95112
4506,ML81853736,SLD,4175 San Bernardino Way,,9,SAN JOSE,"$749,888","$830,000",DE,900,3,1,Y,2.0,1959.0,,,9/10/2021,62.0,South San Jose,95111
4507,ML81836577,SLD,3276 Mount Wilson Drive,,8,SAN JOSE,"$749,888","$820,000",DE,1200,3,2,Y,2.0,1960.0,,,5/10/2021,61.0,Alum Rock,95127
4508,ML81812721,SLD,2053 Delbarr Court,,6,SAN JOSE,"$749,888","$780,000",CO,1290,2,2,Y,1.0,1986.0,300,,10/22/2020,34.0,Willow Glen,95125
4509,ML81803888,SLD,4638 Columbia River Court,,2,SAN JOSE,"$749,888","$770,000",CO,1496,3,2,Y,2.0,1973.0,390,,9/22/2020,47.0,Blossom Valley,95136
4510,ML81737740,SLD,3338 Golf Drive,,3,SAN JOSE,"$749,888","$760,000",DE,1227,3,2,Y,2.0,1952.0,,,2/27/2019,67.0,Berryessa,95127
4511,ML81842734,SLD,1198 Sundown Lane,,7,SAN JOSE,"$749,888","$803,000",DE,1001,2,2,Y,2.0,1983.0,700,A,6/14/2021,38.0,Alum Rock,95127
4512,ML81729910,SLD,3428 Buckner Drive,,41,SAN JOSE,"$749,888","$745,000",DE,1203,3,2,Y,2.0,1959.0,,,1/8/2019,59.0,Alum Rock,95127
4513,ML81829023,SLD,19 Pala Avenue,,8,SAN JOSE,"$749,888","$825,000",DE,980,2,1,Y,2.0,1942.0,,,3/11/2021,79.0,Alum Rock,95127
4514,ML81798608,SLD,1392 Darwin Court,,61,SAN JOSE,"$749,888","$755,000",DE,1214,3,2,Y,2.0,1971.0,,,9/18/2020,49.0,South San Jose,95122
4515,ML81812638,SLD,4580 Cimarron River Court,,6,SAN JOSE,"$749,888","$760,000",TH,1441,3,2,Y,2.0,1973.0,420,M,11/4/2020,47.0,Blossom Valley,95136
4516,ML81760070,SLD,919 Fruitdale Place,,13,SAN JOSE,"$749,888","$735,000",TH,1508,3,1,Y,2.0,1979.0,420,,9/17/2019,40.0,Central San Jose,95126
4517,ML81771572,SLD,450 McCovey Lane,,28,SAN JOSE,"$749,888","$770,000",DE,1300,4,2,Y,2.0,1960.0,,,12/23/2019,59.0,Alum Rock,95127
4518,ML81847973,SLD,800 N 8th Street,110,6,SAN JOSE,"$749,888","$815,000",CO,1370,3,2,Y,2.0,2004.0,525,,7/19/2021,17.0,Central San Jose,95112
4519,ML81789327,SLD,3436 Mount Saint Helena Drive,,14,SAN JOSE,"$749,888","$730,000",DE,1038,3,1,Y,2.0,1961.0,,,5/21/2020,59.0,Alum Rock,95127
4520,ML81830288,SLD,7101 Rainbow Drive,7,45,SAN JOSE,"$749,888","$740,000",CO,700,1,1,,0.0,1964.0,451,M,5/5/2021,57.0,Cupertino,95129
4521,ML81765667,SLD,388 N 19th Street,,9,SAN JOSE,"$749,888","$761,500",DE,1346,3,1,,0.0,1938.0,,,10/3/2019,81.0,Central San Jose,95112
4522,ML81829172,SLD,3682 Jasmine Circle,,8,SAN JOSE,"$749,888","$773,682",CO,1037,2,2,Y,1.0,1999.0,250,M,3/22/2021,22.0,Evergreen,95135
4523,ML81765505,SLD,4993 Lyng Drive,,29,SAN JOSE,"$749,888","$762,000",DE,1196,4,2,Y,2.0,1968.0,,,10/24/2019,51.0,South San Jose,95111
4524,ML81841259,SLD,318 Ballymore Circle,,6,SAN JOSE,"$749,888","$851,000",CO,1168,2,2,Y,2.0,1997.0,260,M,6/4/2021,24.0,South San Jose,95136
4525,ML81787568,SLD,411 Park Avenue,219,32,SAN JOSE,"$749,888","$740,000",CO,1048,2,2,Y,1.0,1987.0,435,,6/5/2020,33.0,Central San Jose,95110
